,USD,EUR,RON
2023-10-1,18.0,19.05,3.8
2023-10-2,18.0,19.08,3.8
2023-10-3,18.0,19.1,3.8
2023-10-4,18.0,19.1,3.8
2023-10-5,18.0,19.1,3.8
2023-10-6,17.85,19.13,3.82
2023-10-7,17.8,19.03,3.8
2023-10-8,17.7,18.9,3.77
2023-10-9,17.69,18.93,3.77
2023-10-10,17.75,18.92,3.77
2023-10-11,17.75,18.92,3.77
2023-10-12,17.75,18.92,3.77
2023-10-13,17.77,19.0,3.77
2023-10-14,17.8,19.04,3.77
2023-10-15,17.74,19.25,3.84
2023-10-16,17.72,19.18,3.84
2023-10-17,17.72,19.17,3.83
2023-10-18,17.72,19.17,3.83
2023-10-19,17.72,19.17,3.83
2023-10-20,17.6,19.18,3.84
2023-10-21,17.65,19.3,3.84
2023-10-22,17.62,19.2,3.83
2023-10-23,17.66,19.26,3.85
2023-10-24,17.7,19.28,3.84
2023-10-25,17.7,19.28,3.84
2023-10-26,17.7,19.28,3.84
2023-10-27,17.65,19.3,3.85
2023-10-28,17.7,19.35,3.85
2023-10-29,17.65,19.38,3.85
2023-10-30,17.62,19.3,3.84
2023-10-31,17.62,19.22,3.83
